200215 134225.556|CONFIG|main|setFileHandlers|Now logging to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/profiles/P43c08821-5a55-4a01-8984-c54f506e09d2/logs directory.
200215 134231.876|INFO|Thread-9|info|sendToClient b4 to JUDGE1 @ site 1 Packet[LOGIN_SUCCESS] #6 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 134231.877|INFO|Thread-9|info|sendToClient SERVER0 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 134231.877|INFO|Thread-9|info|sendToClient (send) JUDGE1 @ site 1 Packet[LOGIN_SUCCESS] #6 SERVER0 @ site 1 -> JUDGE1 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 134231.878|INFO|Thread-9|info|sendToClient af to JUDGE1 @ site 1 Packet[LOGIN_SUCCESS] #6 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 134231.878|INFO|Thread-9|info|sendToClient (send) SERVER0 @ site 0 Packet[LOGIN] #7 SERVER0 @ site 1 -> SERVER0 @ site 0 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 134231.882|INFO|Thread-9|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 134232.182|INFO|Thread-12|info|receiveObject start got Packet[LOGIN_REQUEST] #1 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
200215 134232.183|INFO|Thread-12|info|receiveObject Packet[LOGIN_REQUEST] #1 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
200215 134232.184|INFO|Thread-12|info|LOGIN_REQUEST packet contains clientId object with site number of 0; replacing with my site number (1)
200215 134232.184|INFO|Thread-12|info|ClientID=ADMINISTRATOR1 @ site 1
200215 134232.185|DEBUG|Thread-12|logDebugMessage|Login Event NEW_LOGIN ADMINISTRATOR1 @ site 1
200215 134232.185|INFO|Thread-12|info|LOGIN logged in ADMINISTRATOR1 @ site 1 at Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 134232.187|INFO|Thread-12|info|sendToClient b4 to ADMINISTRATOR1 @ site 1 Packet[LOGIN_SUCCESS] #8 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
200215 134232.188|INFO|Thread-12|info|sendToClient SERVER0 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 134232.188|INFO|Thread-12|info|sendToClient (send) ADMINISTRATOR1 @ site 1 Packet[LOGIN_SUCCESS] #8 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 134232.188|INFO|Thread-12|info|sendToClient af to ADMINISTRATOR1 @ site 1 Packet[LOGIN_SUCCESS] #8 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
200215 134232.189|INFO|Thread-12|info|sendToClient (send) SERVER0 @ site 0 Packet[LOGIN] #9 SERVER0 @ site 1 -> SERVER0 @ site 0 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 134232.190|INFO|Thread-12|info|sendToClient (send) SERVER0 @ site 0 Packet[LOGIN] #9 SERVER0 @ site 1 -> SERVER0 @ site 0 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 134232.193|INFO|Thread-12|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 134232.444|INFO|Thread-16|info|receiveObject start got Packet[LOGIN_REQUEST] #1 SCOREBOARD1 @ site 0 -> SERVER0 @ site 0
200215 134232.444|INFO|Thread-16|info|receiveObject Packet[LOGIN_REQUEST] #1 SCOREBOARD1 @ site 0 -> SERVER0 @ site 0
200215 134232.446|INFO|Thread-16|info|LOGIN_REQUEST packet contains clientId object with site number of 0; replacing with my site number (1)
200215 134232.446|INFO|Thread-16|info|ClientID=SCOREBOARD1 @ site 1
200215 134232.447|DEBUG|Thread-16|logDebugMessage|Login Event NEW_LOGIN SCOREBOARD1 @ site 1
200215 134232.447|INFO|Thread-16|info|LOGIN logged in SCOREBOARD1 @ site 1 at Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 134232.448|INFO|Thread-16|info|sendToClient b4 to SCOREBOARD1 @ site 1 Packet[LOGIN_SUCCESS] #10 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1
200215 134232.448|INFO|Thread-16|info|sendToClient SERVER0 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 134232.449|INFO|Thread-16|info|sendToClient (send) SCOREBOARD1 @ site 1 Packet[LOGIN_SUCCESS] #10 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 134232.449|INFO|Thread-16|info|sendToClient af to SCOREBOARD1 @ site 1 Packet[LOGIN_SUCCESS] #10 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1
200215 134232.449|INFO|Thread-16|info|sendToClient (send) SERVER0 @ site 0 Packet[LOGIN] #11 SERVER0 @ site 1 -> SERVER0 @ site 0 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 134232.451|INFO|Thread-16|info|sendToClient (send) SERVER0 @ site 0 Packet[LOGIN] #11 SERVER0 @ site 1 -> SERVER0 @ site 0 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 134232.453|INFO|Thread-16|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 135749.679|INFO|Thread-20|info|receiveObject start got Packet[UPDATE_SETTING] #2 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135749.681|INFO|Thread-20|info|receiveObject Packet[UPDATE_SETTING] #2 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135749.682|INFO|Thread-20|info|handlePacket start Packet[UPDATE_SETTING] #2 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135749.682|INFO|Thread-20|dumpPacket|Packet UPDATE_SETTING (Seq #2, o#2 ) handlePacket
200215 135749.682|INFO|Thread-20|dumpPacket|  From: ADMINISTRATOR1 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135749.683|INFO|Thread-20|dumpPacket|    To: SERVER0 @ site 1
200215 135749.683|INFO|Thread-20|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge1
200215 135749.684|DEBUG|Thread-20|logDebugMessage|Account Event CHANGED JUDGE1 @ site 1
200215 135749.694|INFO|Thread-20|info|sendToClient b4 to JUDGE1 @ site 1 Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.695|INFO|Thread-20|info|sendToClient SERVER0 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 135749.695|INFO|Thread-20|info|sendToClient (send) JUDGE1 @ site 1 Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 135749.699|INFO|Thread-20|info|sendToClient af to JUDGE1 @ site 1 Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.753|INFO|Thread-20|info|sendToClient (send) JUDGE1 @ site 1 Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 135749.754|INFO|Thread-20|info|sendToClient (send) JUDGE1 @ site 1 Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 135749.757|INFO|Thread-20|info|sendToClient (send) JUDGE1 @ site 1 Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 135749.767|INFO|Thread-20|info|handlePacket end Packet[UPDATE_SETTING] #2 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135749.768|INFO|Thread-20|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 135756.252|INFO|Thread-25|info|receiveObject start got Packet[UPDATE_SETTING] #3 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135756.253|INFO|Thread-25|info|receiveObject Packet[UPDATE_SETTING] #3 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135756.255|INFO|Thread-25|info|handlePacket start Packet[UPDATE_SETTING] #3 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135756.255|INFO|Thread-25|dumpPacket|Packet UPDATE_SETTING (Seq #3, o#3 ) handlePacket
200215 135756.255|INFO|Thread-25|dumpPacket|  From: ADMINISTRATOR1 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135756.255|INFO|Thread-25|dumpPacket|    To: SERVER0 @ site 1
200215 135756.256|INFO|Thread-25|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge2
200215 135756.256|DEBUG|Thread-25|logDebugMessage|Account Event CHANGED JUDGE2 @ site 1
200215 135756.268|INFO|Thread-25|info|sendToClient b4 to JUDGE2 @ site 1 Packet[UPDATE_SETTING] #13 SERVER0 @ site 1 -> JUDGE2 @ site 1
200215 135756.273|WARNING|Thread-25|logWarning|Unable to send packet to JUDGE2 @ site 1 not logged in.  Packet saved in: profiles/P43c08821-5a55-4a01-8984-c54f506e09d2/packets/packet5354.8.packet
200215 135756.276|INFO|Thread-25|info|sendToClient af to JUDGE2 @ site 1 Packet[UPDATE_SETTING] #13 SERVER0 @ site 1 -> JUDGE2 @ site 1
200215 135756.301|INFO|Thread-25|info|sendToClient (send) JUDGE2 @ site 1 Packet[UPDATE_SETTING] #13 SERVER0 @ site 1 -> JUDGE2 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 135756.302|INFO|Thread-25|info|sendToClient (send) JUDGE2 @ site 1 Packet[UPDATE_SETTING] #13 SERVER0 @ site 1 -> JUDGE2 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 135756.306|INFO|Thread-25|info|sendToClient (send) JUDGE2 @ site 1 Packet[UPDATE_SETTING] #13 SERVER0 @ site 1 -> JUDGE2 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 135756.311|INFO|Thread-25|info|handlePacket end Packet[UPDATE_SETTING] #3 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135756.314|INFO|Thread-25|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 135803.625|INFO|Thread-29|info|receiveObject start got Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135803.626|INFO|Thread-29|info|receiveObject Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135803.627|INFO|Thread-29|info|handlePacket start Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135803.627|INFO|Thread-29|dumpPacket|Packet UPDATE_SETTING (Seq #4, o#4 ) handlePacket
200215 135803.627|INFO|Thread-29|dumpPacket|  From: ADMINISTRATOR1 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135803.627|INFO|Thread-29|dumpPacket|    To: SERVER0 @ site 1
200215 135803.628|INFO|Thread-29|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge3
200215 135803.628|DEBUG|Thread-29|logDebugMessage|Account Event CHANGED JUDGE3 @ site 1
200215 135803.634|INFO|Thread-29|info|sendToClient b4 to JUDGE3 @ site 1 Packet[UPDATE_SETTING] #15 SERVER0 @ site 1 -> JUDGE3 @ site 1
200215 135803.636|WARNING|Thread-29|logWarning|Unable to send packet to JUDGE3 @ site 1 not logged in.  Packet saved in: profiles/P43c08821-5a55-4a01-8984-c54f506e09d2/packets/packet5354.9.packet
200215 135803.636|INFO|Thread-29|info|sendToClient af to JUDGE3 @ site 1 Packet[UPDATE_SETTING] #15 SERVER0 @ site 1 -> JUDGE3 @ site 1
200215 135803.673|INFO|Thread-29|info|sendToClient (send) JUDGE3 @ site 1 Packet[UPDATE_SETTING] #15 SERVER0 @ site 1 -> JUDGE3 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 135803.681|INFO|Thread-29|info|sendToClient (send) JUDGE3 @ site 1 Packet[UPDATE_SETTING] #15 SERVER0 @ site 1 -> JUDGE3 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 135803.686|INFO|Thread-29|info|sendToClient (send) JUDGE3 @ site 1 Packet[UPDATE_SETTING] #15 SERVER0 @ site 1 -> JUDGE3 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 135803.701|INFO|Thread-29|info|handlePacket end Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135803.702|INFO|Thread-29|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 135813.119|INFO|Thread-33|info|receiveObject start got Packet[UPDATE_SETTING] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135813.119|INFO|Thread-33|info|receiveObject Packet[UPDATE_SETTING] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135813.120|INFO|Thread-33|info|handlePacket start Packet[UPDATE_SETTING] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135813.120|INFO|Thread-33|dumpPacket|Packet UPDATE_SETTING (Seq #5, o#5 ) handlePacket
200215 135813.120|INFO|Thread-33|dumpPacket|  From: ADMINISTRATOR1 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135813.120|INFO|Thread-33|dumpPacket|    To: SERVER0 @ site 1
200215 135813.121|INFO|Thread-33|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge4
200215 135813.121|DEBUG|Thread-33|logDebugMessage|Account Event CHANGED JUDGE4 @ site 1
200215 135813.131|INFO|Thread-33|info|sendToClient b4 to JUDGE4 @ site 1 Packet[UPDATE_SETTING] #17 SERVER0 @ site 1 -> JUDGE4 @ site 1
200215 135813.133|WARNING|Thread-33|logWarning|Unable to send packet to JUDGE4 @ site 1 not logged in.  Packet saved in: profiles/P43c08821-5a55-4a01-8984-c54f506e09d2/packets/packet5354.10.packet
200215 135813.134|INFO|Thread-33|info|sendToClient af to JUDGE4 @ site 1 Packet[UPDATE_SETTING] #17 SERVER0 @ site 1 -> JUDGE4 @ site 1
200215 135813.168|INFO|Thread-33|info|sendToClient (send) JUDGE4 @ site 1 Packet[UPDATE_SETTING] #17 SERVER0 @ site 1 -> JUDGE4 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 135813.170|INFO|Thread-33|info|sendToClient (send) JUDGE4 @ site 1 Packet[UPDATE_SETTING] #17 SERVER0 @ site 1 -> JUDGE4 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 135813.171|INFO|Thread-33|info|sendToClient (send) JUDGE4 @ site 1 Packet[UPDATE_SETTING] #17 SERVER0 @ site 1 -> JUDGE4 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 135813.180|INFO|Thread-33|info|handlePacket end Packet[UPDATE_SETTING] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135813.186|INFO|Thread-33|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 135819.239|INFO|Thread-37|info|receiveObject start got Packet[UPDATE_SETTING] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135819.239|INFO|Thread-37|info|receiveObject Packet[UPDATE_SETTING] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135819.240|INFO|Thread-37|info|handlePacket start Packet[UPDATE_SETTING] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135819.240|INFO|Thread-37|dumpPacket|Packet UPDATE_SETTING (Seq #6, o#6 ) handlePacket
200215 135819.241|INFO|Thread-37|dumpPacket|  From: ADMINISTRATOR1 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135819.241|INFO|Thread-37|dumpPacket|    To: SERVER0 @ site 1
200215 135819.241|INFO|Thread-37|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge5
200215 135819.242|DEBUG|Thread-37|logDebugMessage|Account Event CHANGED JUDGE5 @ site 1
200215 135819.248|INFO|Thread-37|info|sendToClient b4 to JUDGE5 @ site 1 Packet[UPDATE_SETTING] #19 SERVER0 @ site 1 -> JUDGE5 @ site 1
200215 135819.250|WARNING|Thread-37|logWarning|Unable to send packet to JUDGE5 @ site 1 not logged in.  Packet saved in: profiles/P43c08821-5a55-4a01-8984-c54f506e09d2/packets/packet5354.11.packet
200215 135819.250|INFO|Thread-37|info|sendToClient af to JUDGE5 @ site 1 Packet[UPDATE_SETTING] #19 SERVER0 @ site 1 -> JUDGE5 @ site 1
200215 135819.282|INFO|Thread-37|info|sendToClient (send) JUDGE5 @ site 1 Packet[UPDATE_SETTING] #19 SERVER0 @ site 1 -> JUDGE5 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 135819.283|INFO|Thread-37|info|sendToClient (send) JUDGE5 @ site 1 Packet[UPDATE_SETTING] #19 SERVER0 @ site 1 -> JUDGE5 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 135819.286|INFO|Thread-37|info|sendToClient (send) JUDGE5 @ site 1 Packet[UPDATE_SETTING] #19 SERVER0 @ site 1 -> JUDGE5 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 135819.322|INFO|Thread-37|info|handlePacket end Packet[UPDATE_SETTING] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135819.323|INFO|Thread-37|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 135826.349|INFO|Thread-41|info|receiveObject start got Packet[UPDATE_SETTING] #7 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135826.349|INFO|Thread-41|info|receiveObject Packet[UPDATE_SETTING] #7 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135826.350|INFO|Thread-41|info|handlePacket start Packet[UPDATE_SETTING] #7 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135826.350|INFO|Thread-41|dumpPacket|Packet UPDATE_SETTING (Seq #7, o#7 ) handlePacket
200215 135826.351|INFO|Thread-41|dumpPacket|  From: ADMINISTRATOR1 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135826.351|INFO|Thread-41|dumpPacket|    To: SERVER0 @ site 1
200215 135826.351|INFO|Thread-41|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account administrator1
200215 135826.354|DEBUG|Thread-41|logDebugMessage|Account Event CHANGED ADMINISTRATOR1 @ site 1
200215 135826.357|INFO|Thread-41|info|sendToClient b4 to ADMINISTRATOR1 @ site 1 Packet[UPDATE_SETTING] #21 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
200215 135826.358|INFO|Thread-41|info|sendToClient SERVER0 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 135826.358|INFO|Thread-41|info|sendToClient (send) ADMINISTRATOR1 @ site 1 Packet[UPDATE_SETTING] #21 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 135826.360|INFO|Thread-41|info|sendToClient af to ADMINISTRATOR1 @ site 1 Packet[UPDATE_SETTING] #21 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
200215 135826.404|INFO|Thread-41|info|sendToClient (send) ADMINISTRATOR1 @ site 1 Packet[UPDATE_SETTING] #21 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 135826.406|INFO|Thread-41|info|sendToClient (send) ADMINISTRATOR1 @ site 1 Packet[UPDATE_SETTING] #21 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 135826.409|INFO|Thread-41|info|sendToClient (send) ADMINISTRATOR1 @ site 1 Packet[UPDATE_SETTING] #21 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 135826.413|INFO|Thread-41|info|handlePacket end Packet[UPDATE_SETTING] #7 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135826.414|INFO|Thread-41|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 135832.407|INFO|Thread-46|info|receiveObject start got Packet[UPDATE_SETTING] #8 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135832.408|INFO|Thread-46|info|receiveObject Packet[UPDATE_SETTING] #8 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135832.409|INFO|Thread-46|info|handlePacket start Packet[UPDATE_SETTING] #8 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135832.409|INFO|Thread-46|dumpPacket|Packet UPDATE_SETTING (Seq #8, o#8 ) handlePacket
200215 135832.410|INFO|Thread-46|dumpPacket|  From: ADMINISTRATOR1 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135832.410|INFO|Thread-46|dumpPacket|    To: SERVER0 @ site 1
200215 135832.410|INFO|Thread-46|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account scoreboard1
200215 135832.410|DEBUG|Thread-46|logDebugMessage|Account Event CHANGED SCOREBOARD1 @ site 1
200215 135832.412|INFO|Thread-46|info|sendToClient b4 to SCOREBOARD1 @ site 1 Packet[UPDATE_SETTING] #22 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1
200215 135832.413|INFO|Thread-46|info|sendToClient SERVER0 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 135832.413|INFO|Thread-46|info|sendToClient (send) SCOREBOARD1 @ site 1 Packet[UPDATE_SETTING] #22 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 135832.414|INFO|Thread-46|info|sendToClient af to SCOREBOARD1 @ site 1 Packet[UPDATE_SETTING] #22 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1
200215 135832.452|INFO|Thread-46|info|sendToClient (send) SCOREBOARD1 @ site 1 Packet[UPDATE_SETTING] #22 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1 Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 135832.458|INFO|Thread-46|info|sendToClient (send) SCOREBOARD1 @ site 1 Packet[UPDATE_SETTING] #22 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1 Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 135832.465|INFO|Thread-46|info|sendToClient (send) SCOREBOARD1 @ site 1 Packet[UPDATE_SETTING] #22 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1 Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 135832.479|INFO|Thread-46|info|handlePacket end Packet[UPDATE_SETTING] #8 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135832.479|INFO|Thread-46|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 141622.597|INFO|Thread-51|info|connectionEstablished: Socket[addr=/192.168.1.17,port=50398,localport=50002]--4474628347764011208
